id,tamanio,tipo,maxOcupantes,informacion,resevable,categoria,porcentajeOcupacion,planta,asignadoA
CRE.1200.02.320,15,despacho,1,DESPACHO 2.21,true,despacho,100,2,INFORMATICA
CRE.1200.02.330,15,despacho,1,DESPACHO 2.20,true,despacho,100,2,INFORMATICA
CRE.1200.02.340,15,despacho,2,DESPACHO 2.19,true,despacho,100,2,INGENIERIA DE SISTEMAS
CRE.1200.02.350,15,despacho,2,DESPACHO 2.18,true,despacho,100,2,INGENIERIA DE SISTEMAS
CRE.1200.02.380,15,despacho,2,DESPACHO 2.17,true,despacho,100,2,INGENIERIA DE SISTEMAS
CRE.1200.02.390,15,despacho,2,DESPACHO 2.16,true,despacho,100,2,INGENIERIA DE SISTEMAS
CRE.1200.02.400,15,despacho,1,DESPACHO 2.15,true,despacho,100,2,INGENIERIA DE SISTEMAS
CRE.1200.02.410,15,despacho,2,DESPACHO 2.14,true,despacho,100,2,INGENIERIA DE SISTEMAS
CRE.1200.02.420,15,despacho,2,DESPACHO 2.13,true,despacho,100,2,INGENIERIA DE SISTEMAS
CRE.1200.02.430,15,despacho,2,DESPACHO 2.12,true,despacho,100,2,INGENIERIA DE SISTEMAS
CRE.1200.02.440,15,despacho,2,DESPACHO 2.11,true,despacho,100,2,INGENIERIA DE SISTEMAS
CRE.1200.02.450,15,despacho,2,DESPACHO 2.10,true,despacho,100,2,INGENIERIA DE SISTEMAS
CRE.1200.02.460,15,despacho,2,DESPACHO 2.09,true,despacho,100,2,INGENIERIA DE SISTEMAS
CRE.1200.02.470,15,despacho,1,DESPACHO 2.08,true,despacho,100,2,INGENIERIA DE SISTEMAS
CRE.1200.02.480,15,despacho,2,DESPACHO 2.07,true,despacho,100,2,INFORMATICA
CRE.1200.02.490,15,despacho,2,DESPACHO 2.06,true,despacho,100,2,INFORMATICA
